POINT_NAME,X,Y,HEIGHT,gGal,RANK
6177,195354,722093,13.138,,2
53U,255254.507,734457.907,-199.747,,1
59U,253183.162,739525.229,-204.11,,1
45U,249600.009,744583.291,-63.269,,3
52U,259668.368,738436.263,-204.88,,1
51U,260662.327,744163.046,-172.468,,1
46U,249205.626,750986.793,-197.161,,2
63U,266781.782,742592.379,354.818,,
50U,261422.333,750476.156,-190.753,,1
100U,251036.969,756487.492,86.078,,1
48U,257214.356,755938.862,-193.943,,2
49U,260912.918,756543.852,-167.669,,1
132U,273065.175,755854.017,459.6,,4
124U,276442.497,750266.442,429.196,,3
113U,258519.4,768800.296,128.628,,3
114U,260347.804,776744.701,83.42,,1
115U,260496.326,782792.404,77.004,,1
129U,275542.609,778262.979,948.926,,4
119U,265900.905,793934.108,,,
118U,264015.929,794794.634,337.486,,
745A,192113,707878,7.468,,2
291A,193566,712189,12.73,,1
92U,239353.469,757932.339,298.031,,1
742A,216630.142,718812.376,174.164,,1
762A,215103.489,723445.333,97.42,,1
29F,195345,722239,21.988,,1
760A,210102,729699,76.333,,1
756A,206498,739290,17.57,,1
261A,202865.385,743799.181,6.085,,1
737A,221908,740799,142.053,,1
741A,224697,741900,162.795,,3
736A,214197,745799,85.189,,1
37H,200826,746266,4.098,,1
243A,249684.75,745892.524,-196.516,,2
544A,258541.999,768987.348,130.011,,1
543A,261012,781514,87.873,,1
20F,254269.408,798600.528,511.319,,3
2301,227422,732214,312.657,,1
699A,218000,685000,298.442,,2
4488,201705,690899,53.243,979530.1602,1
88BY,248511,697248,-173.487,979550.4826,2
6174,189769,692225,33.303,979532.9488,2
383U,189425.982,702702.316,17.596,979546.3797,1
721U,249619.284,696633.45,-181.742,979550.9636,2
