Code,H,HRank
409745,186.287,1
409746,269.235,1
409747,181.672,1
409748,212.999,1
409749,39.615,1
409751,-5.353,1
409752,-28.209,1
409753,-75.125,1
409754,-83.383,1
409755,-91.05,1
409756,-116.891,1
409757,-196.254,1
409758,-164.867,1
409759,-204.013,1
409760,-197.557,1
409761,-207.912,1
409762,110.713,1
409763,-233.799,1
409764,-200.493,1
409765,-200.473,1
409766,-194.665,1
409767,-194.045,1
409768,-194.63,1
409769,-191.012,1
409770,-201.819,1
409771,-202.662,1
409772,-200.3,1
409773,-178.364,1
409774,-217.463,1
409775,67.232,1
409776,98.524,1
409777,133.103,1
409778,149.085,1
409779,180.159,1
409780,201.982,1
409781,319.426,1
409782,426.217,1
409783,422.003,1
409784,316.199,1
409785,227.935,1
409786,-206.691,1
409792,-204.993,1
409793,-204.552,1
409794,-212.037,1
409795,-215.711,1
409797,353.936,1
409798,527.166,1
409799,670.7,1
409801,-199.367,1
409802,-204.833,1
409803,-204.201,1
409804,-202.956,1
409805,-198.992,1
409806,-200.791,1
409807,-206.044,1
409808,-205.395,1
409809,74.096,1
409810,92.168,1
409811,90.716,1
409812,242.801,1
409813,350.64,1
409814,348.859,1
409815,177.066,1
409816,186.405,1
409817,180.777,1
409818,219.277,1
409819,225.345,1
409821,154.638,1
409822,127.807,1
409823,34.033,1
409824,33.238,1
409825,261.4,1
409826,287.59,1
409827,199.769,1
409828,83.304,1
409829,160.814,1
409830,278.382,1
409831,370.564,1
409832,300.879,1
409833,300.407,1
409834,196.027,1
409835,501.967,1
409836,476.504,1
409837,451.553,1
409838,451.917,1
409839,591.438,1
409841,789.375,1
409842,718.665,1
409843,705.445,1
409845,688.168,1
409846,710.93,1
409847,783.86,1
409848,834.442,1
409849,728.739,1
409850,711.261,1
409851,760.833,1
409852,731.515,1
409853,676.683,1
409854,636.76,1
409855,569.411,1
409856,512.684,1
409857,410.55,1
409858,379.541,1
409859,382.634,1
409860,429.696,1
409861,640.049,1
409862,789.873,1
409863,629.179,1
409864,548.499,1
409865,534.788,1
409866,400.476,1
409867,82.637,1
409868,76.19,1
409869,79.026,1
409870,133.155,1
409871,83.403,1
409872,64.819,1
409873,64.856,1
409874,64.778,1
409875,71.667,1
409876,186.878,1
409877,137.112,1
409878,-37.7,1
409879,751.62,1
409880,760.447,1
409881,783.442,1
409882,684.35,1
