from,to,type
-12J.,-1212U.,filename
-11J.,-1211U.,filename
-10J.,-1210U.,filename
-9J.,-1209U.,filename
-8J.,-1208U.,filename
-7J.,-1207U.,filename
-6J.,-1206U.,filename
-5J.,-1205U.,filename
-4J.,-1204U.,filename
-3J.,-1203U.,filename
-2J.,-1202U.,filename
-1J.,-1201U.,filename
-9J.,-1209U.,filename
-8J.,-1208U.,filename
-7J.,-1207U.,filename
-6J.,-1206U.,filename
-5J.,-1205U.,filename
-4J.,-1204U.,filename
-3J.,-1203U.,filename
-2J.,-1202U.,filename
-1J.,-1201U.,filename
-J9.,-1209U.,filename
-J8.,-1208U.,filename
-J7.,-1207U.,filename
-J6.,-1206U.,filename
-J5.,-1205U.,filename
-J4.,-1204U.,filename
-J3.,-1203U.,filename
-J2.,-1202U.,filename
-J1.,-1201U.,filename
-J9.,-1209U.,filename
-J8.,-1208U.,filename
-J7.,-1207U.,filename
-J6.,-1206U.,filename
-J5.,-1205U.,filename
-J4.,-1204U.,filename
-J3.,-1203U.,filename
-J2.,-1202U.,filename
-J1.,-1201U.,filename
96J-,1296U-,filename
95J-,1295U-,filename
94J-,1294U-,filename
93J-,1293U-,filename
92J-,1292U-,filename
91J-,1291U-,filename
90J-,1290U-,filename
89J-,1289U-,filename
88J-,1288U-,filename
87J-,1287U-,filename
86J-,1286U-,filename
85J-,1285U-,filename
84J-,1284U-,filename
83J-,1283U-,filename
82J-,1282U-,filename
81J-,1281U-,filename
80J-,1280U-,filename
79J-,1279U-,filename
78J-,1278U-,filename
77J-,1277U-,filename
76J-,1276U-,filename
75J-,1275U-,filename
74J-,1274U-,filename
73J-,1273U-,filename
72J-,1272U-,filename
71J-,1271U-,filename
70JA-,1270U-,filename
69J-,1269U-,filename
68J-,1268U-,filename
67J-,1267U-,filename
66J-,1266U-,filename
65J-,1265U-,filename
64J-,1264U-,filename
63J-,1263U-,filename
62J-,1262U-,filename
61J-,1261U-,filename
60J-,1260U-,filename
59J-,1259U-,filename
58J-,1258U-,filename
57J-,1257U-,filename
56J-,1256U-,filename
55J-,1255U-,filename
54J-,1254U-,filename
53J-,1253U-,filename
52J-,1252U-,filename
51J-,1251U-,filename
50J-,1250U-,filename
49J-,1249U-,filename
48J-,1248U-,filename
47J-,1247U-,filename
46J-,1246U-,filename
45J-,1245U-,filename
44J-,1244U-,filename
43J-,1243U-,filename
42J-,1242U-,filename
41J-,1241U-,filename
40J-,1240U-,filename
39J-,1239U-,filename
38J-,1238U-,filename
37J-,1237U-,filename
36J-,1236U-,filename
35J-,1235U-,filename
34J-,1234U-,filename
33J-,1233U-,filename
32J-,1232U-,filename
31J-,1231U-,filename
30J-,1230U-,filename
29J-,1229U-,filename
28J-,1228U-,filename
27J-,1227U-,filename
26J-,1226U-,filename
25J-,1225U-,filename
24J-,1224U-,filename
23J-,1223U-,filename
22J-,1222U-,filename
21J-,1221U-,filename
20J-,1220U-,filename
19J-,1219U-,filename
