Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source,File
5470MPI,3757MPI,1.90473,3635,165,2.95,1119,5470MPI-3757MPI.raw,3786-line_7,0690_3756MPI-3757MPI.rez
37H,137H,4.63894,716,10,0,986,2015,1998-r1,0698_37H-4665.rez
137H,4665,-3.49522,628,10,0,986,2015,1998-r1,0698_37H-4665.rez
37H,2H,2.36044,934,25,0.23,301,914.RAW,luba,0699_37H-4664.rez
2H,4664,-1.96058,652,19,-0.23,301,914.RAW,luba,0699_37H-4664.rez
37H,34H,4.64007,812,20,0.64,301,914.RAW,luba,0700_37H-4665.rez
34H,4665,-3.4964,611,14,1.72,301,914.RAW,luba,0700_37H-4665.rez
37H,4664,0.40144,1534,23,1.4,986,2015,1998-r1,0701_37H-4664.rez
37H,4665,1.14451,1308,18,0,1086,2015,1998-r1,0702_37H-4665.rez
382U,6195,11.47245,1882,46,1.22,101,911.RAW,luba,0703_382U-6195.rez
382U,6205,1.64189,2313,54,1.4,101,911.RAW,luba,0704_382U-6174.rez
763A,746A,-2.6164,2136,36,-0.6,1286,2001,1998-r1,0705_383U-745A.rez
746A,745A,-9.48217,1840,28,0.45,686,1447,1998-r1,0705_383U-745A.rez
2680b,6195,1.41809,2447,65,2.57,101,911.RAW,luba,0706_383U-6195.rez
39U,4012MPI,82.46436,2765,75,0.96,319,4012MPI-39U.raw,3728,0716_39U-721U.rez
4012MPI,4011MPI,-0.12372,2102,39,1.2,319,4012MPI-4011MPI.raw,3728,0716_39U-721U.rez
4011MPI,4355MPI,-1.75322,2272,48,1.54,520,4355MPI-4011MPI.raw,3728,0716_39U-721U.rez
4355MPI,4009MPI,0.2751,1505,33,1.66,519,4009MPI-4355MPI.raw,3728,0716_39U-721U.rez
39U,4354MPI,-9.77975,2167,47,0.52,419,39U-4354MPI.raw,3728,0717_39U-6011.rez
4354MPI,4353MPI,5.97546,1178,27,1.24,419,4353MPI-4354MPI.raw,3728,0717_39U-6011.rez
4353MPI,6011,-11.6455,1741,35,0.98,319,6011-4353MPI.raw,3728,0717_39U-6011.rez
39U,60091,5.51296,213,8,-0.52,696,0,1998-r1,0718_39U-4525.rez
60091,60092,31.38693,1055,32,0.04,1096,0,1998-r1,0718_39U-4525.rez
60092,6009,47.97573,1422,52,-1.13,1096,0,1998-r1,0718_39U-4525.rez
6009,3110,22.37467,1723,26,0.89,696,0,1998-r1,0718_39U-4525.rez
3110,4525,-1.27461,202,8,-0.59,696,0,1998-r1,0718_39U-4525.rez
39U,60093,-2.24645,1529,26,-0.87,696,0,1998-r1,0719_39U-6011.rez
60093,6010,6.4555,1640,29,0.27,696,0,1998-r1,0719_39U-6011.rez
6010,60101,-10.3554,210,12,-0.68,1096,0,1998-r1,0719_39U-6011.rez
60101,6011,-9.55047,1736,39,2.4,696,0,1998-r1,0719_39U-6011.rez
4057,35361,-0.42353,1173,20,2.2,1286,2023,1998-r1,0743_4057-736A.rez
35361,3536,-0.09127,968,16,-0.04,1187,2023,1998-r1,0743_4057-736A.rez
3536,11PU,2.11068,883,15,1.5,1286,2023,1998-r1,0743_4057-736A.rez
11PU,266A2,5.13734,913,23,0.8,287,2022,1998-r1,0743_4057-736A.rez
266A2,266A1,7.08609,922,22,0.5,287,2022,1998-r1,0743_4057-736A.rez
266A1,40582,-2.9873,1024,22,0.7,287,2022,1998-r1,0743_4057-736A.rez
40582,4058,14.18492,998,20,0.9,287,2022,1998-r1,0743_4057-736A.rez
4058,40581,-0.59298,1129,23,-1.69,287,2022,1998-r1,0743_4057-736A.rez
40581,25FE,7.48825,1652,31,3.4,387,2022,1998-r1,0743_4057-736A.rez
25FE,736A,42.56078,1911,42,-1.6,886,2021,1998-r1,0743_4057-736A.rez
4057,40571,2.33832,587,12,1.1,1086,2021,1998-r1,0744_4057-736A.rez
40571,735A,12.27518,1492,23,1.8,1086,2021,1998-r1,0744_4057-736A.rez
735A,4747,-2.45227,1320,20,2.1,1086,2021,1998-r1,0744_4057-736A.rez
4747,47471,37.55405,1177,27,1,1086,2021,1998-r1,0744_4057-736A.rez
47471,4748,33.8957,1403,32,1.1,1086,2021,1998-r1,0744_4057-736A.rez
4748,736A,-9.13454,1299,29,-1.4,1086,2021,1998-r1,0744_4057-736A.rez
4057,47461,0.20356,1369,25,-0.08,1186,2023,1998-r1,0745_4057-756A.rez
47461,4746,-2.55571,1024,19,-1.6,1186,2023,1998-r1,0745_4057-756A.rez
4746,4745,-0.13511,1372,22,3.8,1186,2023,1998-r1,0745_4057-756A.rez
4745,756A,9.34206,714,16,1.8,1186,2023,1998-r1,0745_4057-756A.rez
4065,3773MPI,-99.1729,1497,70,-0.52,520,4065-3773MPI.raw,3728,0748_4065-6016.rez
3773MPI,1529AFS,-4.45538,1391,34,0.97,218,1529AFS-3773MPI.raw,3728,0748_4065-6016.rez
1529AFS,6016,9.60422,2317,49,3.42,218,6016-1529AFS.raw,3728,0748_4065-6016.rez
4065,4760,64.59686,1000,40,-2.19,984,1393,1998-r2,0749_4065-4760.rez
4065,4760,64.55575,1021,51,2.3,218,4065-4760.raw,3728,0750_4065-4760.rez
4067,215A,6.88184,279,6,0.7,586,2019,1998-r1,0751_4067-4756.rez
215A,4756,-56.02703,1095,30,1.3,686,2019,1998-r1,0751_4067-4756.rez
4067,48551,36.64057,847,29,1.8,586,2019,1998-r1,0752_4067-4851.rez
48551,4855,-34.12974,1159,31,0.1,586,2019,1998-r1,0752_4067-4851.rez
4855,4853,-86.69464,1337,47,1.6,586,2019,1998-r1,0752_4067-4851.rez
4853,4852,-25.57125,1302,35,0.6,586,2018,1998-r1,0752_4067-4851.rez
4852,4851,29.50811,1257,34,0.07,586,2018,1998-r1,0752_4067-4851.rez
4067,6051,-3.27681,33,4,0.18,596,0,1998-r1,0753_4067-504U.rez
6051,505U,18.91376,1351,35,1.34,596,0,1998-r1,0753_4067-504U.rez
505U,6049,-125.7054,2089,66,-2.97,596,0,1998-r1,0753_4067-504U.rez
6049,6048,29.43225,2058,67,1.02,596,0,1998-r1,0753_4067-504U.rez
