Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
140U,138U,-4.01352,288,12,0.1,697,987.RAW,luba
612U,613U,16.80469,2752,46,-0.23,199,998.RAW,luba
613U,614U,8.25244,3229,54,2.94,299,998.RAW,luba
138U,136U,-23.24382,1858,57,-1.66,797,987.RAW,luba
136U,137U,-4.1516,213,9,-0.54,797,987.RAW,luba
137U,135U,-0.96502,241,10,0.04,697,987.RAW,luba
135U,134U,1.60507,1895,52,-0.54,697,987.RAW,luba
614U,3633,14.59936,3030,38,4.71,267,805,1998-r2
3633,3634,19.90251,2860,36,-0.99,267,805,1998-r2
3634,3635,10.58575,2720,34,2.43,267,805,1998-r2
3635,485A,30.25616,2660,37,1.99,267,805,1998-r2
485A,3636,38.25333,2260,41,-1.21,267,806,1998-r2
3636,619U,13.61696,2860,38,-2.3,267,806,1998-r2
614U,615U,15.90643,3049,52,-1.83,399,998.RAW,luba
615U,616U,16.60354,2732,46,2.78,299,998.RAW,luba
616U,617U,26.37376,4842,82,0.9,299,998.RAW,luba
617U,618U,53.81449,3268,60,2.08,299,998.RAW,luba
134U,133U,-6.06381,1733,46,1.69,797,987.RAW,luba
618U,619U,14.49529,2586,44,-1.97,399,998.RAW,luba
133U,282U,-2.18694,2120,59,-1.51,597,986.RAW,luba
619U,620U,-0.33027,2610,34,2.65,267,806,1998-r2
619U,620U,-0.32576,2612,44,-0.15,399,998.RAW,luba
157U,159U,1.34153,729,22,-0.89,697,987.RAW,luba
159U,160U,2.73881,88,4,-0.17,697,987.RAW,luba
160U,158U,1.43868,184,6,0.38,697,987.RAW,luba
620U,621U,26.9393,2380,34,-0.9,1268,846,1998-r2
158U,181U,27.20464,1911,68,-1.41,697,987.RAW,luba
620U,621U,26.92985,2345,76,0.73,498,989.RAW,luba
620U,MNHA,40.99849,3150,52,2.91,399,998.RAW,luba
620U,MNHA,41.00086,3148,95,-0.79,498,989.RAW,luba
621U,622U,-0.70008,2176,57,-1.6,498,989.RAW,luba
621U,622U,-0.70007,2260,30,-0.1,1268,846,1998-r2
622U,623U,-7.05837,2280,83,-1.97,398,990.RAW,luba
622U,623U,-7.04658,2360,35,-3.95,1268,846,1998-r2
624U,625U,30.75843,2080,34,4.13,1268,845,1998-r2
181U,182U,16.33162,2214,69,1.78,697,987.RAW,luba
624U,625U,30.75674,2076,71,-1.59,398,990.RAW,luba
182U,183U,25.42703,1828,61,-1.53,697,987.RAW,luba
625U,626U,-21.39589,2360,37,-0.73,1268,845,1998-r2
625U,626U,-21.39381,2294,74,1.99,398,990.RAW,luba
183U,184U,9.66122,1867,64,1.8,697,987.RAW,luba
626U,627U,-12.09843,2180,30,3,1268,844,1998-r2
626U,627U,-12.09826,2188,80,2.03,398,990.RAW,luba
627U,628U,-29.30967,2660,40,3.54,1268,844,1998-r2
628U,629U,2.58097,1650,26,2.72,1268,844,1998-r2
627U,629U,-26.72705,3760,118,-2.73,398,990.RAW,luba
628,3459,16.06471,1510,24,0.69,267,793,1998-r2
3459,630,-11.53528,2320,30,2.04,267,794,1998-r2
628,629,1.02805,1800,31,2.54,554,235,1998-r2
