num,Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
433,410U,4191MPI,0.41136,720,16,0.48,120,410U-4191MPI.DAT.raw,3786 - area b
434,4191MPI,282TA,17.44262,910,35,-0.54,120,4191MPI-282TA.DAT.raw,3786 - area b
435,282TA,1701W,0.35403,266,7,-0.14,220,282TA-1701W.DAT.raw,3786 - area b
436,1701W,4192MPI,-3.19627,291,11,0.58,220,1701W-4192MPI.DAT.raw,3786 - area b
437,4192MPI,4325MPI,-2.90293,1286,43,-0.11,120,4192MPI-4325MPI.DAT.raw,3786 - area b
438,4325MPI,1508JAD,25.61055,1353,54,0.02,220,4325MPI-1508JAD.DAT.raw,3786 - area b
439,1508JAD,1510JAD,-21.73868,1149,35,0.06,320,1508JAD-1510JAD.DAT.raw,3786 - area b
440,1510JAD,1509JAD,10.65996,1425,42,-0.3,320,1510JAD-1509JAD.DAT.raw,3786 - area b
441,1509JAD,6170,-10.35542,902,28,0.65,220,1509JAD-6170.DAT.raw,3786 - area b
442,6170,858TA,-9.97115,1185,26,-0.48,220,6170-858TA.DAT.raw,3786 - area b
443,858TA,291TA,5.89894,1080,29,0.18,220,858TA-291TA.DAT.raw,3786 - area b
444,291TA,4191MPI,-11.80447,1081,38,-0.53,120,291TA-4191MPI.DAT.raw,3786 - area b
445,1173b,922U,0.4918,1651,42,-1.74,1119,1173B-922U.DAT.raw,3786 - area b
446,922U,5513MPI,-4.0696,1295,36,0.52,1219,922U-5513MPI.DAT.raw,3786 - area b
447,5513MPI,5431MPI,-6.06628,1907,44,0.68,1219,5513MPI-5431MPI.DAT.raw,3786 - area b
448,5431MPI,5512MPI,1.23705,963,27,0.02,1219,5431MPI-5512MPI.DAT.raw,3786 - area b
449,5512MPI,5428MPI,-11.61382,837,22,0.31,1219,5512MPI-5428MPI.DAT.raw,3786 - area b
450,5428MPI,4758,-3.18805,1190,27,-0.58,1119,5428MPI-4758.DAT.raw,3786 - area b
451,1012b,5432MPI,-4.82697,1043,23,-0.8,1119,1012B-5432MPI.DAT.raw,3786 - area b
452,5432MPI,5504MPI,-1.70424,832,16,-0.4,1219,5432MPI-5504MPI.DAT.raw,3786 - area b
453,5504MPI,1132b,-1.86869,1674,30,-0.26,1219,5504MPI-1132B.DAT.raw,3786 - area b
454,1132b,1127b,-0.05161,1858,47,-1.91,1219,1132B-1127B.DAT.raw,3786 - area b
455,1127b,1125b,5.91293,707,15,-0.37,1219,1127B1125B.DAT.raw,3786 - area b
456,1125b,1124b,-1.83225,903,23,0.6,1219,1125B-1124B.DAT.raw,3786 - area b
457,1124b,5515MPI,2.30957,648,17,0.98,1219,1124B-5515MPI.DAT.raw,3786 - area b
458,1129b,1132b,0.6801,488,9,-0.75,1219,1129B-1132B.DAT.raw,3786 - area b
459,911U,1560JAD,17.49917,1400,33,0.49,220,911U-1560MPI.DAT.raw,3786 - area b
460,1560JAD,1559JAD,-13.83752,1396,31,0.6,220,1560MPI-1559MPI.DAT.raw,3786 - area b
461,1559JAD,910U,-1.8325,1253,36,1.02,120,1559MPI-910U.DAT.raw,3786 - area b
462,260TA,392U,1.6295,520,13,-0.15,1219,260TA-392U.DAT.raw,3786 - area b
463,1510JAD,371A,-0.39545,75,3,-0.02,620,1510JAD-371A.DAT.raw,3786 - area b
464,371A,1508JAD,22.13476,1086,41,1.49,620,371A-1508JAD.DAT.raw,3786 - area b
465,7326b,409U,7.65168,1368,37,0.83,920,7326B-409U.DAT.raw,3786 - area b
466,409U,1518JAD,-3.28423,218,7,0.02,920,409U-1518JAD.DAT.raw,3786 - area b
467,260TA,404A,-0.39409,1161,41,0.98,620,260TA-404A.DAT.raw,3786 - area b
468,404A,182TA,-1.53812,117,5,0.32,720,404A-182TA.DAT.raw,3786 - area b
469,395U,797A1,-2.74529,138,10,-0.38,720,395U-797A1.DAT.raw,3786 - area b
470,797A1,1839b,20.96344,1331,53,0.6,720,797A1-1839B.DAT.raw,3786 - area b
