OBJECTID,code,X,Y,grav
907,410757,34.94407944,31.8087123,979455.875
908,410760,35.00010142,31.68748385,979396.4375
909,410770,35.43188761,32.7048548,979529.125
910,410793,35.47699153,32.71489882,979524.625
911,410794,35.47201516,32.71457433,979519.9375
912,410797,35.50586287,32.70379711,979541.75
913,410834,35.0411081,30.04291033,979194.125
914,410840,34.9154952,31.20081204,979336.125
915,410841,34.92762864,31.19312057,979333.5
916,410864,35.26037172,32.77172058,979547.25
917,410872,34.80418389,30.67313228,979188.6875
918,410874,34.8065608,30.63903902,979186.5
919,410903,34.85526273,31.35842215,979337.0625
920,410904,34.94474716,31.36709804,979328.8125
921,410905,34.97256847,31.40620329,979304.8125
922,410906,34.97884587,31.41072394,979303.4375
923,410907,35.01768765,31.44460721,979301.3125
924,410908,35.02087245,31.45137595,979298.4375
925,410940,35.29275548,31.78823255,979389.6875
926,410941,35.22755412,31.77653718,979326.5625
927,410942,35.14464234,31.65531668,979290.375
928,410958,34.83502199,31.08389077,979321.0625
929,410964,35.23135645,31.78259681,979326.125
930,410965,35.25206358,31.76837772,979343.1875
931,410967,34.76126415,31.01556893,979317.125
932,410969,35.06263574,30.28060249,979248.0625
933,410973,34.88807059,30.95062561,979267.5625
934,410974,34.81807801,30.89119519,979260.4375
935,410976,34.77645061,30.75445841,979217.625
936,410980,34.94246472,30.99800943,979270.375
937,410989,35.18199797,31.25540509,
938,410990,35.25039937,31.23003239,979324.1875
939,410991,35.37154759,31.15157747,979404.1875
940,410992,34.87196339,31.38327055,979339.25
941,410994,34.90454368,31.30706124,979348.875
942,410995,34.89713434,31.31146304,979349.5625
943,410997,35.09328675,31.03720036,979285.4375
944,411000,34.80576019,31.15574407,979334.25
945,411003,35.22063523,31.75382985,979324.625
946,411005,34.97295382,31.26560046,979323.6875
947,411006,34.99366379,31.7875214,979418.25
948,411008,34.92584383,31.65046426,979393.5625
949,411009,34.96748018,31.68681137,979406.8125
950,411013,35.12820113,31.76352097,979373.375
951,411014,35.16536589,31.76749686,979344.3125
952,411018,35.5243788,32.16349717,979531.125
953,411020,34.94638359,31.36060769,979331.875
954,411029,34.94447283,31.96743006,979491.75
955,411032,34.87894811,31.92395058,979493.4375
956,411071,34.99986881,31.43420831,979304.1875
957,411083,35.23944265,31.77972698,979329.1875
958,411090,35.09916816,31.52451658,979258.5625
959,411099,35.46030213,31.98919233,979530.125
960,411115,35.13942618,31.7995675,979360.0625
961,411130,35.20295268,31.78734514,979321.3125
962,411133,35.20968307,31.25602925,979287.9375
963,411134,34.91227964,30.99084638,979274.125
964,411135,35.01943329,30.27357183,979245.1875
965,411148,35.38877435,31.82379816,979453.875
966,411150,35.33836457,31.80783475,979427.4375
967,411162,35.55286842,32.26325501,979538.1875
968,411164,35.54341924,32.30946145,979546.5625
969,411178,34.96288273,32.75212283,979609.6875
970,411179,34.93986632,32.67618901,979600.125
971,411188,34.94056556,32.6813212,979600.5
972,411192,34.94698785,32.69119922,979602.6875
973,411193,34.94609834,32.69644532,979603.8125
974,411194,34.94843426,32.70747797,979606.3125
975,411195,34.96824223,32.71867993,979597.25
976,411196,34.96648967,32.72391551,979599.375
977,411200,34.96621912,32.73740446,979601
978,411201,34.96621259,32.74386963,979603.125
979,411223,34.95895415,32.63977159,979595.0625
980,411224,34.96181039,32.67525951,
981,411238,34.93270775,32.63543439,979595.0625
982,411239,34.93419627,32.63657376,979595.1875
983,411240,34.93579942,32.63859704,979595.5
984,411247,34.96139311,32.67186827,
985,411259,34.92706206,32.61047157,979591.6875
986,411285,35.00584204,31.06352235,979274.75
987,411289,35.01354973,31.06541001,979273.5
988,411291,34.34585129,31.23027289,979386.9375
989,411297,34.3624971,31.23499151,979386.1875
990,411311,35.02449962,31.0595,979272.5
991,411312,35.01967482,31.06226214,979272.6875
992,411337,35.09367974,31.25818237,979308.4375
993,411338,35.10313191,31.25530404,979306.875
994,411339,35.11199366,31.25440879,979305.8125
995,411340,35.11898547,31.2546842,979303.5
996,411341,35.12465494,31.25441727,979301.875
997,411352,35.03379715,31.26199507,979317.75
998,411353,35.0413599,31.26014695,979317.9375
999,411354,35.04709273,31.25870778,979318
1000,411355,35.05629137,31.2591188,979316.75
1001,411356,35.0616351,31.25932327,979315.5
1002,411357,35.06992417,31.2556073,979313.9375
1003,411358,35.07998176,31.25573468,979312
1004,411396,34.98439804,31.14840452,979311.1875
1005,411397,34.97729771,31.16630444,979319.9375
1006,411408,34.76222524,30.8487237,979265.3125
1007,411409,34.75690228,30.84912933,979265.75
1008,411418,34.83114587,31.05429624,979312.125
1009,411419,34.82180052,31.04862817,979312.875
1010,411420,34.81353794,31.04511112,979314.625
1011,411421,34.81210087,31.04149631,979315.625
1012,411422,34.81076932,31.03033532,979316.625
1013,411423,34.79450692,31.02293122,979315.8125
1014,411424,34.78736965,31.0159418,979316.3125
1015,411430,34.77082475,30.8542908,979265.5
1016,411431,34.77166216,30.98190146,979306.8125
1017,411432,34.77222075,30.97641952,979301.875
1018,411433,34.77932944,30.96438413,979287.375
1019,411434,34.78278442,30.95938965,979282.125
1020,411435,34.78509965,30.95408473,979277.875
1021,411436,34.78726616,30.94682205,979271
1022,411437,34.78565114,30.94041301,979268.625
1023,411438,34.78209532,30.9328341,979269.6875
1024,411439,34.77810898,30.9304489,979272.0625
1025,411440,34.77797532,30.91576472,979269.5625
1026,411441,34.77815983,30.90954186,979269.625
1027,411442,34.77903421,30.90392788,979269.5
1028,411443,34.78666499,30.89493091,979266.875
1029,411444,34.79073296,30.89263498,979266.1875
1030,411445,34.79272854,30.88822176,979265.8125
1031,411446,34.79370336,30.88280411,979265.5
1032,411447,34.80705527,30.88850105,979262.5625
1033,411448,34.79340003,30.88036786,979265.4375
1034,411449,34.78660186,30.87543047,979265.6875
1035,411450,34.77716031,30.86371026,979265.125
1036,411451,34.91275962,30.99826146,979273.875
1037,411452,34.91655158,30.99421121,979272.9375
1038,411453,34.89010076,31.01134061,979283.75
1039,411454,34.90898142,31.0011391,979275.75
1040,411455,34.92167739,30.99571976,979272.625
1041,411456,34.92926556,30.99663809,979272.6875
1042,411464,34.76316806,30.99099495,979311.3125
1043,411465,34.76881752,30.98589651,979309.25
1044,411466,34.85486217,31.05020675,
1045,411467,34.86404937,31.04013663,979300.5625
1046,411468,34.86794379,31.03481639,979301.875
1047,411469,34.87498634,31.02762806,979298.75
1048,411470,34.87981564,31.02115534,979293.4375
1049,411472,34.90011258,31.00779289,979279.8125
1050,411473,34.90603171,31.00353149,979277.5
1051,411474,34.85291473,31.06003957,
1052,411481,34.80405226,31.13939297,979333.5
1053,411482,34.80529408,31.1358162,979332.75
1054,411489,34.80867178,31.12865634,979330.25
1055,411490,34.80758128,31.13296417,979331.375
1056,411491,34.81016715,31.1237725,979329.4375
1057,411493,34.81897278,31.11010834,979327.5625
1058,411494,34.82413894,31.10439153,979325.625
1059,411495,34.82761354,31.09965309,979324.1875
1060,411496,34.82941089,31.09036847,979323.4375
1061,411497,34.83814805,31.07488038,979318.3125
1062,411498,34.84692094,31.06588567,
1063,411500,34.66540931,31.09906974,979342.5
1064,411501,34.65116758,31.11097333,
1065,411502,34.6377091,31.12226003,
1066,411503,34.62371838,31.13398932,979362.8125
1067,411505,34.5985136,31.1554124,979366.5625
1068,411509,34.53332998,31.21421589,979379.875
1069,411515,34.76702305,30.99853925,979312.8125
1070,411516,34.70587737,31.06575411,979335.75
1071,411519,34.68037469,31.08756613,979342
1072,411520,34.47815404,31.22515372,979377.0625
1073,411521,34.49101257,31.22421195,979377.875
1074,411533,34.74987755,31.03039592,979320.4375
1075,411534,34.72824042,31.05047516,979329.1875
1076,411535,34.72008037,31.05217985,979331.625
1077,411536,34.7144697,31.05723947,979333.875
1078,411549,34.77987278,31.00951903,979316.5
1079,411550,34.7682614,31.01378257,979317.25
1080,411551,34.75622888,31.01987452,979317.375
1081,411552,34.43147589,31.2698565,979381.3125
1082,411554,34.44389053,31.25118235,979376.8125
1083,411555,34.45271842,31.24239856,979376.4375
1084,411556,34.46482572,31.23158936,979376
1085,411557,34.47216538,31.22804367,979376.6875
1086,411610,34.75971947,31.26480241,979366
1087,411616,34.80500285,31.22073153,979355.6875
1088,411617,34.80688539,31.21426075,979353.1875
1089,411618,34.80183455,31.20659774,979348.8125
1090,411619,34.80260954,31.19950392,979346
1091,411620,34.80509923,31.19054666,979343.4375
1092,411621,34.80578366,31.17342502,979336.875
1093,411622,34.8037178,31.16406844,979336.625
1094,411623,34.80421471,31.15089837,979334
1095,411638,34.76908652,31.26678258,979364.5625
1096,411639,34.77391474,31.26946847,979363.6875
1097,411663,34.85945678,31.21819147,979349.375
1098,411664,34.75083825,31.26230919,979369.1875
1099,411665,34.74755192,31.26449818,979370.75
1100,411668,34.7157957,31.29410788,979382.0625
1101,411669,34.71037799,31.29780296,979382.5625
1102,411670,34.70489924,31.31298767,979383.375
1103,411672,34.70019898,31.32567693,979383.875
1104,411673,34.7000511,31.33173704,979383.0625
1105,411682,34.77362879,31.23069467,979361.375
1106,411684,34.78500429,31.22876612,979359
1107,411686,34.79691217,31.22985061,979358.25
1108,411688,34.81396431,31.22813576,979356.75
1109,411695,34.82316585,31.2262874,979356.8125
1110,411696,34.84529907,31.22113805,979353.5
1111,411703,34.77816434,31.26545114,979362.0625
1112,411704,34.78217446,31.26798068,979359.8125
1113,411705,34.78021904,31.27086934,979360.875
1114,411708,34.96131909,31.266388,979330.125
1115,411721,34.87893359,31.32859036,979344.125
1116,411724,34.94975719,31.27087516,979334.6875
1117,411729,34.93945862,31.27757355,979336.75
1118,411733,34.76846767,31.24150917,979364.9375
1119,411744,34.79524481,31.35838392,979370.5625
1120,411745,34.79602277,31.36562857,979372.75
1121,411746,34.79450965,31.37279375,979374.0625
1122,411753,34.82464573,31.37296768,979360.125
1123,411754,34.81637871,31.37671283,979365.3125
1124,411760,34.94384623,31.27442585,979335.6875
1125,411762,34.87895621,31.31895814,979346.3125
1126,411763,34.78842632,31.31959867,979359.375
1127,411764,34.78674363,31.32952306,979362.1875
1128,411765,34.78828788,31.33674322,979364.125
1129,411766,34.79147099,31.34171391,979365.9375
1130,411768,34.78898327,31.31238531,979357
1131,411772,34.93218467,31.34005534,979339.5
1132,411774,34.93382583,31.3488707,979338.1875
1133,411789,34.79123819,31.29395781,979354.25
1134,411790,34.7910806,31.29878246,979354.125
1135,411791,34.79007677,31.30495722,979354.875
1136,411807,34.84796577,31.27676611,979351.75
1137,411816,34.90177809,31.30798371,979349.5
1138,411874,34.76030475,31.56408428,979423.1875
1139,411875,34.76607028,31.55467072,979422
1140,411887,34.62803798,31.77795426,979466.0625
1141,411888,34.62541005,31.78359225,979467.25
1142,411890,34.63767232,31.79665164,979468.625
1143,411902,34.9182064,31.29777575,979342.9375
1144,411903,34.92487064,31.29247821,979341.25
1145,411904,34.93074679,31.28670965,979339.9375
1146,411905,34.92318983,31.29968075,979341.75
1147,411907,34.9312762,31.30014915,979339.125
1148,411908,35.05907661,31.35517152,979281.4375
1149,411909,35.06832954,31.35713324,979273.8125
1150,411910,35.07163953,31.35759667,979270.875
1151,411911,35.04750961,31.34428446,979285.0625
1152,411912,35.03563596,31.3351995,979292.0625
1153,411913,35.02752172,31.32778073,979295.25
1154,411914,35.01600546,31.32070045,979302.8125
1155,411918,34.99403871,31.31278571,979315.375
1156,411919,34.97304441,31.30526727,979324.6875
