from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
707U,3783MPI,-18.83912,1248,36,0.44
3787MPI,3784MPI,38.83152,2505,69,-2.19
3782MPI,3785MPI,-134.08027,1788,85,0.65
3795MPI,3787MPI,4.26402,2388,77,-0.76
3794MPI,3789MPI,27.48445,1365,62,-0.8
3796MPI,3789MPI,-151.1005,2243,102,1.07
3785MPI,3791MPI,-110.32389,1673,81,1.78
3946MPI,3791MPI,-118.34094,1785,89,0.92
4239,3794MPI,69.10357,1597,67,0.39
3795MPI,3796MPI,-76.88024,2452,66,-1.07
3946MPI,3944MPI,-1.21521,1926,65,0.8
3950MPI,3949MPI,-55.41045,820,47,1
3944MPI,3950MPI,-82.14295,1549,75,0.8
3791MPI,707U,-83.82627,2027,69,2.68
3792MPI,4239,33.40793,1213,38,0
3783MPI,8092,-34.51102,1540,43,0.77
3784MPI,8092,-1.51397,243,10,-0.36
4689,7642MPI,11.10324,3040,87,2.5
7642MPI,7643MPI,32.01826,2253,61,0.48
3641b,2597W,74.41001,943,47,0.11
4629MPI,3641b,-18.35875,1314,48,1.06
2597W,4063MPI,153.60882,2284,103,2.38
7644MPI,7643MPI,7.28878,2775,75,1.42
2597W,7644MPI,-47.40253,2286,70,2.05
4629MPI,7644MPI,8.65104,774,22,0.64
3173b,308U,5.32233,2083,43,2.57
308U,3175b,13.41175,2071,44,1.28
3175b,309U,16.66591,3349,72,3.43
4187MPI,164U,2.51302,1889,34,0
164U,166U,-19.66106,3468,70,1.5
4159MPI,161U,62.23048,2011,58,-0.97
4186MPI,166U,23.33997,1938,34,0.66
4182MPI,172U,13.33571,2165,44,0.58
4183MPI,172U,3.91571,1998,36,2.91
4181MPI,176U,-23.18301,3448,64,2.16
4180MPI,180U,-14.16108,2168,38,-0.38
246U,219U,3.07559,122,4,0.58
BERO,237U,27.56684,1981,38,1.14
247U,246U,111.87804,2748,105,3.6
248U,247U,121.92582,2420,78,0.04
248U,249U,135.9238,2582,82,-2.72
3815MPI,MARA,-0.2059,71,2,-0.09
249U,3815MPI,22.78547,2795,50,-1.8
4150MPI,250U,70.99924,1735,44,1.21
251U,4151MPI,88.25965,1768,62,0.08
252U,4152MPI,40.79634,2094,57,-0.41
253U,4153MPI,21.72473,1630,52,0.74
4154MPI,254U,-104.1663,2364,90,-0.38
257U,256U,226.10216,3666,142,3.8
4156MPI,257U,79.64435,2801,74,-0.34
834U,258U,-9.64293,2992,58,-0.82
834U,259U,-20.53875,1928,36,-1.82
4026MPI,259U,18.92898,1793,30,0.66
4157MPI,261U,-3.09176,1562,46,0.93
4158MPI,261U,34.75996,1754,50,0.95
264U,263U,22.05551,2546,53,-0.32
835U,263U,4.37355,599,19,-0.3
265U,264U,8.65284,2712,62,2.29
265U,266U,-43.33135,2504,56,0.82
4023MPI,269U,-6.35168,2727,56,0.94
361A1,658U,1.17532,1450,28,1.68
40261,361A1,-7.43311,2236,42,-0.82
4022MPI,315U,10.91542,2510,52,1.91
3183b,1907W,-4.5334,949,18,-0.22
305U,3167b,4.786,2093,36,5.33
3772MPI,3167b,6.43411,1755,30,0.66
305U,306U,3.71622,1834,32,1.54
3170b,306U,1.1362,1874,32,2.01
3170b,3171b,8.62913,1669,30,-0.2
307U,3171b,-10.89106,1836,32,0.51
3173b,307U,-20.45882,2191,38,1.55
3177b,309U,-12.7673,2538,52,3
3177b,310U,-6.09752,1966,41,-0.54
3179b,310U,-13.13726,3636,74,0.48
311U,3179b,2.86781,2283,40,-0.59
3181b,311U,-19.82168,2269,40,-0.48
312U,3181b,-7.71543,2190,39,0.48
1907W,312U,-20.77097,1731,30,-0.24
