from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
5511MPI,428U,0.01441,884,24,0.74
428U,1110b,-2.7823,1122,27,1.06
1110b,3555,-0.234,1613,35,1.36
3555,5503MPI,6.05533,1534,35,2.01
5503MPI,5502MPI,10.87853,1746,43,0.1
5502MPI,5501MPI,6.20023,1651,36,0.04
5501MPI,302A,32.51477,1348,53,1.72
302A,3193,8.5636,2070,60,1.82
3193,1500JAD,-22.76053,1258,51,-1.3
1500JAD,1501JAD,-19.40523,1490,47,0.02
1501JAD,1502JAD,-13.70891,1300,27,1.33
1502JAD,1504JAD,0.50685,821,22,1.26
1504JAD,429U,-10.322,1563,33,1.24
429U,1021b,1.60158,1037,29,0.63
1021b,1035b,-6.58708,1439,33,0.89
1035b,1017b,-0.23644,1265,29,0.95
1017b,5429MPI,-3.26643,651,17,0.27
5429MPI,1014b,0.7576,1517,31,0.28
1014b,1012b,2.25688,1276,33,1.3
1012b,5427MPI,-2.83038,1269,29,1.06
5427MPI,5426MPI,-2.81283,822,20,0.82
5426MPI,1003b,4.20862,836,23,0.82
1003b,5496MPI,-8.69836,1271,34,-0.38
5496MPI,5497MPI,-3.65032,1162,25,1.64
5497MPI,5498MPI,-2.03994,1303,24,0.28
5498MPI,5499MPI,-1.71966,822,26,-0.89
5499MPI,5500MPI,-1.99277,907,17,0.2
5500MPI,260TA,1.42614,874,25,0.65
260TA,182TA,-1.93449,1243,29,-0.52
182TA,4758,-12.53577,2012,48,2.01
4758,410U,-1.92139,1004,27,1.06
410U,4191MPI,0.41136,720,16,0.48
4191MPI,282TA,17.44262,910,35,-0.54
282TA,1701W,0.35403,266,7,-0.14
1701W,4192MPI,-3.19627,291,11,0.58
4192MPI,4325MPI,-2.90293,1286,43,-0.11
4325MPI,1508JAD,25.61055,1353,54,0.02
1508JAD,1510JAD,-21.73868,1149,35,0.06
1510JAD,1509JAD,10.65996,1425,42,-0.3
1509JAD,6170,-10.35542,902,28,0.65
6170,858TA,-9.97115,1185,26,-0.48
858TA,291TA,5.89894,1080,29,0.18
291TA,4191MPI,-11.80447,1081,38,-0.53
1173b,922U,0.4918,1651,42,-1.74
922U,5513MPI,-4.0696,1295,36,0.52
5513MPI,5431MPI,-6.06628,1907,44,0.68
5431MPI,5512MPI,1.23705,963,27,0.02
5512MPI,5428MPI,-11.61382,837,22,0.31
5428MPI,4758,-3.18805,1190,27,-0.58
1012b,5432MPI,-4.82697,1043,23,-0.8
5432MPI,5504MPI,-1.70424,832,16,-0.4
5504MPI,1132b,-1.86869,1674,30,-0.26
1132b,1127b,-0.05161,1858,47,-1.91
1127b,1125b,5.91293,707,15,-0.37
1125b,1124b,-1.83225,903,23,0.6
1124b,5515MPI,2.30957,648,17,0.98
1129b,1132b,0.6801,488,9,-0.75
911U,1560JAD,17.49917,1400,33,0.49
1560JAD,1559JAD,-13.83752,1396,31,0.6
1559JAD,910U,-1.8325,1253,36,1.02
260TA,392U,1.6295,520,13,-0.15
